"","ID","name","club","photo","overall","x","y","type","color","position","neigh_1","neigh_2","neigh_3","neigh_4","neigh_5"
"1",20801,"Cristiano Ronaldo","Real Madrid CF","20801.png",94,4.47497330273603,1.95649998835327,"Out and Out Attacker","#2C90F7","ST,LW","K. De Bruyne","A. Sánchez","Thiago","L. Modrić","Santi Cazorla"
"2",158023,"L. Messi","FC Barcelona","158023.png",93,4.99989427857703,4.45018705697648,"Out and Out Attacker","#2C90F7","RW,ST,CF","S. Giovinco","Neymar","D. Mertens","P. Dybala","E. Hazard"
"3",190871,"Neymar","Paris Saint-Germain","190871.png",92,4.21074748894654,4.0570721804347,"Out and Out Attacker","#2C90F7","LW","P. Dybala","D. Mertens","E. Hazard","A. Gómez","S. Agüero"
"4",176580,"L. Suárez","FC Barcelona","176580.png",92,2.95619747678355,1.84196486480271,"Out and Out Attacker","#2C90F7","ST","I. Piatti","H. Ziyech","P. Aubameyang","Giuliano","K. Kampl"
"5",167495,"M. Neuer","FC Bayern Munich","167495.png",92,-10.1365501958499,1.47747897291091,"Goalkeeper","#9487C6","GK","F. Muslera","Y. Cardinale","M. Vorm","J. Hart","Júlio César"
"6",188545,"R. Lewandowski","FC Bayern Munich","188545.png",91,3.51109551856472,1.30719532218543,"Box to Box Player","#C07C8D","ST","Pizzi","J. Cuadrado","Roberto Firmino","H. Mkhitaryan","Santi Cazorla"
"7",193080,"De Gea","Manchester United","193080.png",90,-9.80721247756899,2.33226376566687,"Goalkeeper","#9487C6","GK","Tiago Volpi","Fabricio","F. Muslera","C. Bravo","M. Vorm"
"8",183277,"E. Hazard","Chelsea","183277.png",90,4.20730601873059,3.65856087720282,"Out and Out Attacker","#2C90F7","LW","P. Dybala","Neymar","S. Agüero","Coutinho","A. Robben"
"9",182521,"T. Kroos","Real Madrid CF","182521.png",90,3.481100271699,-0.149752289767474,"Box to Box Player","#C07C8D","CM,CDM","M. Hamšík","L. Baines","Adrien Silva","Jordi Alba","L. Stindl"
"10",167664,"G. Higuaín","Juventus","167664.png",90,2.21057522902137,1.8694969660433,"Out and Out Attacker","#2C90F7","ST","J. Iličić","A. Ruiz","S. Doumbia","C. Bakambu","T. Rosický"
"11",155862,"Sergio Ramos","Real Madrid CF","155862.png",90,2.18332943486986,-2.8741516383316,"Box to Box Player","#C07C8D","CB","S. Khedira","Thiago Silva","J. Kucka","D. De Rossi","Fabinho"
"12",192985,"K. De Bruyne","Manchester City","192985.png",89,3.99641404151132,1.8293132965759,"Out and Out Attacker","#2C90F7","RM,CAM,CM","T. Lemar","H. Mkhitaryan","Santi Cazorla","Thiago","Iniesta"
"13",192119,"T. Courtois","Chelsea","192119.png",89,-11.8504511368754,1.75305624267823,"Goalkeeper","#9487C6","GK","V. Babacan","P. Čech","S. Ruffier","O. Baumann","C. Kameni"
"14",184941,"A. Sánchez","Arsenal","184941.png",89,4.31760171627552,2.57714291429845,"Out and Out Attacker","#2C90F7","RM,ST,LW,LM","David Silva","M. Reus","Cristiano Ronaldo","J. Rodríguez","C. Eriksen"
"15",177003,"L. Modrić","Real Madrid CF","177003.png",89,4.32641478738746,1.22858348313534,"Out and Out Attacker","#2C90F7","CM,CDM","Thiago","Santi Cazorla","G. Bale","H. Mkhitaryan","K. De Bruyne"
